名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数,简介
完美陌生人 Perfetti sconosciuti,2016,保罗·杰诺维塞,"马可·贾利尼,卡夏·斯穆特尼亚克,爱德华多·莱奥,阿尔芭·洛尔瓦彻,瓦莱里奥·马斯坦德雷亚,安娜·福列塔,朱塞佩·巴蒂斯通","剧情,喜剧",意大利,意大利语,8.5,384335,40.6%,47.0%,11.6%,0.7%,0.2%,107978,"三对处于各个婚姻阶段的伴侣和一个宅男，七人聚在一起吃晚餐。女主人提议下拍板决定当夜所有人分享每一个电话、每一条短信、邮件的内容,由此许多秘密开始不再是秘密，他们之间的关系也开始发生波动。无数疮痍在这场"坦白局"中被揭开，复杂的男女情感让所有人陷入困局，什么是婚姻感情中最不可触碰的底线？众人遭遇是难言的禁忌还是隐藏的真心，月食过后，谎言能否继续？"
头脑特工队 Inside Out,2015,彼特·道格特,"艾米·波勒,菲利丝·史密斯,理查德·坎德,比尔·哈德尔,刘易斯·布莱克,敏迪·卡灵,凯特林·迪亚斯,戴安·琳恩,凯尔·麦克拉克伦,波拉·庞德斯通,鲍比·莫尼汉,宝拉·佩尔,大卫·戈尔兹,弗兰克·奥兹,乔什·库雷,弗利,约翰·拉岑贝格,卡洛斯·阿拉斯拉奇,皮特·萨加尔,拉什达·琼斯,罗里·艾伦,约翰·齐甘,雪莉·琳恩,拉瑞恩·纽曼,帕丽斯·冯·戴克","喜剧,动画,冒险",美国,英语,8.7,397498,49.5%,37.6%,11.7%,1.0%,0.2%,87305,可爱的小女孩莱莉（凯特林·迪亚斯 Kaitlyn Dias 配音）出生在明尼苏达州一个平凡的家庭中，从小她在父母的呵护下长大，脑海中保存着无数美好甜蜜的回忆。当然这些记忆还与几个莱莉未曾谋面的伙伴息息相关，他们就是人类的五种主要情绪：乐乐（艾米·波勒 Amy Poehl er 配音）、忧忧（菲利丝·史密斯 Phyllis Smith 配音）、怕怕（比尔·哈德尔 Bill Hader 配音）、厌厌（敏迪·卡灵 Mindy Kaling 配音）和怒怒（刘易斯·布莱克 Lewis Black 配音）。乐乐作为团队的领导，她协同其他伙伴致力于为小主人营造更多美好的珍贵回忆。某天，莱莉随同父母搬到了旧金山，肮脏逼仄的公寓、陌生的校园环境、逐渐失落的友情都让莱莉无所适从，她的负面情绪逐渐累积，内心美好的世界渐次崩塌。
金刚狼3：殊死一战 Logan,2017,詹姆斯·曼高德,"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩,波伊德·霍布鲁克,斯戴芬·莫昌特,伊丽莎白·罗德里格斯,多丽丝·莫尔加多,理查德·E·格兰特,玛丽·佩顿·斯图尔特,伊利斯·尼尔,埃里克·拉萨尔,劳伦·格罗斯,胡安·贾斯帕,克日什托夫·索什斯基,萨博·班克森","剧情,动作,科幻",美国,"英语,西班牙语",8.3,354447,35.7%,45.2%,17.1%,1.5%,0.4%,98638,故事发生在2029年，彼时，X战警早已经解散，作为为数不多的仅存的变种人，金刚狼罗根（休·杰克曼 Hugh Jackman 饰）和卡利班（斯戴芬·莫昌特 Stephen Merchant 饰）照顾着年迈的X教授（帕特里克·斯图尔特 Patrick Stewart 饰），由于衰老，X教授已经丧失了对于自己超能力的控制，如果不依赖药物，他的超能力就会失控，在全球范围内制造无法挽回的灾难。不仅如此，金刚狼的自愈能力亦随着时间的流逝逐渐减弱，体能和力量都早已经大不如从前。
萤火之森 蛍火の杜へ,2011,大森贵弘,"佐仓绫音,内山昂辉,辻亲八,山本兼平,后藤弘树,今井麻美","剧情,爱情,动画,奇幻",日本,日语,8.9,325085,54.4%,34.9%,9.7%,0.8%,0.2%,66533,某年夏天，6岁小女孩竹川萤来到爷爷家度假，她闯进了传说住满妖怪的山神森林。正当她因为迷路而焦急万分的时候，一个戴着狐狸面具的大男孩出现在她面前，并引领着萤找到回家的路。虽然萤分外感激，可是男孩却禁止她碰触自己的身体，原来这名叫银的男孩并非人类，他一旦被人类碰触就会烟消云散。在此后的日子里，萤和银成为好朋友，他们走遍了森林的每一个角落玩耍。日复一日，年复一年，每到夏天的时候萤就会如约来到森林和好朋友见面。她遵守着和银的约定，无论如何也不碰触银的身体。随着年龄的增长，萤和银对彼此的情感都悄悄发生了变化，他们共同期待相聚的日子，共同期待拥抱对方……
死亡诗社 Dead Poets Society,1989,彼得·威尔,"罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克,乔西·查尔斯,盖尔·汉森,迪伦·库斯曼,阿勒隆·鲁杰罗,詹姆斯·沃特斯顿,诺曼·劳埃德,柯特伍德·史密斯,卡拉·贝尔韦尔,利昂·波纳尔,乔治·马丁,乔·奥菲耶里,马特·凯里,凯文·库尼,拉腊·弗林·鲍尔,亚历桑德拉·鲍尔斯,梅洛拉·沃尔特斯,帕梅拉·伯勒尔,约翰·库宁汉姆,迪布拉·穆尼,库尔特·莱特纳,凯瑟·斯内德,霍纳斯·斯蒂克洛瑞斯,杰米·肯尼迪",剧情,美国,"英语,拉丁语",9.1,476434,61.9%,30.7%,6.7%,0.6%,0.2%,99316,威尔顿预备学院以其沉稳凝重的教学风格和较高的升学率闻名，作为其毕业班的学生，理想就是升入名校。新学期文学老师约翰·基汀（罗宾·威廉姆斯 饰）的到来如同一阵春风，一反传统名校的严肃刻板。
X战警：逆转未来 X-Men: Days of Future Past,2014,布莱恩·辛格,"休·杰克曼,詹姆斯·麦卡沃伊,迈克尔·法斯宾德,詹妮弗·劳伦斯,哈莉·贝瑞,尼古拉斯·霍尔特,埃文·彼得斯,伊恩·麦克莱恩,帕特里克·斯图尔特,艾伦·佩吉,安娜·帕奎因,彼特·丁拉基,肖恩·阿什莫,卢卡斯·提尔,丹尼尔·库德摩尔,波波·斯图尔特,奥玛·希,范冰冰,阿丹·坎托,乔什·赫尔曼","剧情,动作,科幻,冒险","美国,英国","英语,越南语,法语",8.2,372804,32.1%,48.5%,17.8%,1.3%,0.3%,73215,故事的设定发生在当下，变种人族群遭到了前所未有的毁灭性打击，而这一切的根源是"魔形女"瑞文（詹妮弗·劳伦斯 Jennifer Lawrence 饰）在1973年刺杀了玻利瓦尔·特拉斯克（彼特·丁拉基 Peter Dinklage 饰）。在得知"幻影猫"（艾伦·佩吉 E llen Page 饰）利用穿越时空的能力帮助Blink（范冰冰 饰）等战友逃脱巨型机器人"哨兵"的追杀后，X教授（帕特里克·斯图尔特 Patrick Stewart 饰）和万磁王（伊恩·麦克莱恩 Ian McKellen 饰）达成认同，决定让金刚狼（休·杰克曼 Hugh Jackman 饰）穿越回1973年，找到年轻的X教授（詹姆斯·麦卡沃伊 James McAvoy 饰）和年轻的万磁王（迈克尔·法斯宾德 Michael Fassbender 饰）并说服他们一起阻止魔形女的行动。于是...
搏击俱乐部 Fight Club,1999,大卫·芬奇,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,扎克·格雷尼尔,米特·洛夫,杰瑞德·莱托,艾恩·贝利,里奇蒙德·阿奎特 ,乔治·马奎尔","剧情,动作,悬疑,惊悚","美国,德国",英语,9.0,610153,61.2%,30.4%,7.3%,0.8%,0.3%,115858,杰克（爱德华•诺顿 饰）是一个大汽车公司的职员，患有严重的失眠症，对周围的一切充满危机和憎恨。
致命ID Identity,2003,詹姆斯·曼高德,"约翰·库萨克,雷·利奥塔,阿曼达·皮特,约翰·浩克斯,阿尔弗雷德·莫里纳,克里·杜瓦尔,约翰·C·麦金雷,威廉姆·李·斯科特,杰克·布塞,普路特·泰勒·文斯,瑞贝卡·德·莫妮,卡门·阿尔根齐亚诺,马绍尔·贝尔,莱拉·肯泽尔,马特·莱斯切尔,布莱特·罗尔,霍尔姆斯·奥斯本,弗雷德里克·科芬,Joe Hart,Michael Hirsch,泰伦斯·伯尼·海恩斯 ","剧情,悬疑,惊悚",美国,英语,8.8,530089,49.5%,40.8%,8.9%,0.6%,0.2%,95121,一个典型而又引人入胜的悬疑故事：一个汽车旅馆里，住进了10个人，他们中间有司机、妓女、过气女星、夫妇、警探和他的犯人，还有神秘的旅馆经理。这天风雨大作，通讯中断，10人被困在了旅馆里，惊悚的故事开始了。
九品芝麻官,1994,王晶,"周星驰,吴孟达,张敏,徐锦江,钟丽缇,蔡少芬,吴启华,邹兆龙,梁荣忠,黄一飞,苑琼丹,刘洵,黄一山","喜剧,古装",中国香港,粤语,8.4,340512,37.2%,48.3%,13.8%,0.6%,0.1%,26201,包龙星（周星驰 饰）用钱买来了一个候补知县的职位，可是为人贪婪，县上的人都对他痛恨之极。在他代替正式知县的时候，戚家媳妇戚秦氏（张敏 饰）遭到了常威( 邹兆龙 饰 )的强暴，后来常威动了杀机把戚家上下都杀害了，更嫁祸于戚秦氏。常威是水师提督大人的儿子，请来大状方唐镜（吴启华 饰），收买了所有证人以便洗脱罪名。包龙星虽然极力寻找证据，也被迫害至落难他乡。他决定要上京告御状，后来他因没钱不得不在妓院打工，向老板娘学习了一身斗嘴的好功夫。他在妓院里误打误撞认识了皇上，帮助皇上有功他被封了大官，重审戚家被害的案件。他凭着聪慧与口才，全力为戚秦氏讨回公道。
玩具总动员4 Toy Story 4,2019,乔什·库雷,"汤姆·汉克斯,蒂姆·艾伦,安妮·波茨,托尼·海尔,科甘-迈克尔·凯,玛德琳·麦格劳,克里斯蒂娜·亨德里克斯,乔丹·皮尔,基努·里维斯,松村艾丽,杰伊·埃尔南德斯,罗里·艾伦,琼·库萨克,邦尼·亨特,克里斯汀·沙尔,华莱士·肖恩,约翰·拉岑贝格,布莱克·克拉克,琼·斯奎布,卡尔·韦瑟斯,唐·里克斯,杰夫·格尔林,朱莉安娜·汉森,爱丝黛儿·哈里斯,劳里·梅特卡夫,史蒂夫·波赛尔,梅尔·布鲁克斯,艾伦·欧朋海默,卡罗尔·博内特,贝蒂·怀特,卡尔·雷纳,比尔·哈德尔,帕特丽夏·阿奎特,提摩西·道尔顿,弗利,梅丽莎·维拉斯诺,杰夫·皮金,约翰·莫里斯","喜剧,动画,奇幻",美国,英语,8.6,204328,44.1%,42.3%,12.6%,0.8%,0.1%,59823,胡迪深知自己在这个世界上的使命，就是照顾他的主人，无论是原来的安迪还是新主人邦妮。当邦妮将不情愿成为玩具的"叉叉"带回家时，胡迪又担起了教导叉叉接受自己新身份的责任。 然而当邦妮将所有玩具带上房车家庭旅行时，胡迪与伙伴们将共同踏上全新的冒险之旅，领略房间外面的世界有多广阔，甚至偶遇老朋友牧羊女。在多年的独自闯荡中，牧羊女已经变得热爱冒险，不再只是一个精致的洋娃娃。正当胡迪和牧羊女发现彼此对玩具的使命的意义大相径庭时，他们很快意识到更大的威胁即将到来……
时空恋旅人 About Time,2013,理查德·柯蒂斯,"多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊,莉迪亚·威尔逊,琳赛·邓肯,理查德·科德里,约书亚·麦圭尔,汤姆·霍兰德,玛格特·罗比,维尔·梅里克,凡妮莎·柯比,汤姆·休斯,哈利·海顿-佩顿,米切尔·马伦,丽莎·艾科恩,珍妮·莱恩斯福德,菲利普-沃斯,凯瑟琳·斯戴曼,汤姆·斯托顿,安部春香,李·阿斯奎斯-柯,理查德·班克斯,保罗·布莱克维尔,贝恩·科拉科,格拉姆·柯里,罗薇娜·戴蒙德,约翰·达根,迪诺·法赞尼,内芙·加切夫,理查德·E·格兰特,理查德·格雷弗斯,李·尼古拉斯·哈里斯,理查德·赫德曼,李仙湖,马修·C·马蒂诺,马汀·麦格,艾莉克丝摩尔","喜剧,爱情,奇幻",英国,英语,8.7,367418,49.7%,38.2%,11.1%,0.8%,0.2%,89891,Tim（多姆纳尔·格利森 Domhnall Gleeson 饰）21岁了，他的老爸（比尔·奈伊 Bill Nighy 饰）告诉他，他们家族的男人都有时光旅行的超能力，可以回到过去。于是Tim将信就疑地试了一下，回到了夏天，在那里他试图改变和暗恋对象的关系，却发现怎么穿越时空都不能让不爱你的人爱上你。之后Tim来到了伦敦，成为了一个律师。他爱上了一个漂亮的姑娘Mary（瑞秋·麦克亚当斯 Rachel McAdams 饰），他通过几次时空旅行，努力地想成为Mary的男朋友。再后来，他又试图通过时光旅行，去挽回一场失败的话剧，去改善妹妹的生活，去更好地和亲人、朋友相处，度过生命中的每一天。
阳光普照 陽光普照,2019,钟孟宏,"陈以文,柯淑勤,巫建和,刘冠廷,许光汉,尹馨,温贞菱,吴岱凌,林志儒,龙劭华,胡鸿达,施名帅,张立东,张少怀,黄信尧","剧情,犯罪",中国台湾,"汉语普通话,闽南语",8.4,108427,34.9%,52.4%,11.7%,0.8%,0.2%,37194,平凡的一家人阿文（陈以文 饰）和琴姐（柯淑勤 饰）育有两个儿子，叛逆的小儿子阿和（巫建和 饰）与好友菜头（刘冠廷 饰）砍伤人进了少年辅育院，但阿和的女友小玉（吴岱凌 饰）却带着身孕来家里…琴姐不顾阿文反对，将小玉留下来照顾。此时，被砍伤者家属也来找阿文求取巨额赔偿，阿文受不了总是带来麻烦的小儿子，将所有希望都寄托在资优生大儿子阿豪（许光汉 饰）身上，却不知道温暖善良的阿豪心中也藏着不为人知的秘密…
亲爱的,2014,陈可辛,"赵薇,黄渤,佟大为,郝蕾,张译,张雨绮,张国强,朱子墨,李一情,陈莹,余皑磊,黄建新","剧情,家庭","中国大陆,中国香港","汉语普通话,安徽方言,粤语,陕西方言",8.4,388429,36.7%,48.3%,13.8%,0.8%,0.3%,91109,田文军（黄渤 饰）和鲁晓娟（郝蕾 饰）曾是一对恩爱的夫妻，然而，两人之间的感情却被时间和争吵消耗殆尽，最终，他们选择了离婚。如今，联系着两人的唯一枢纽，就是可爱的儿子田鹏。然而，某一天，这唯一的纽带也断裂了，田鹏于一次外出玩耍时无故失踪，绝望和崩溃之中，田文军与鲁晓娟踏 上了漫漫寻子之路，并在途中结识了许多和他们一样无助的父亲和母亲们。
悬崖上的金鱼姬 崖の上のポニョ,2008,宫崎骏,"奈良柚莉爱,土井洋辉,山口智子,长岛一茂,天海祐希,所乔治,柊瑠美,矢野显子,吉行和子,奈良冈朋子,左时枝,羽鸟慎一,平冈映美,大桥望美","动画,奇幻,冒险",日本,日语,8.5,296419,40.5%,44.0%,14.4%,1.0%,0.2%,48633,金鱼姬是一条活泼好动的小鱼，一次偶然的机会，它在涨潮时被冲进了玻璃瓶中无法脱身。此时，刚好来海边度假的男孩宗介路过，帮它解困，从此人鱼相识。宗介把金鱼抱回家里喂养，一起玩耍，感情甚笃。由于海员父亲终日出航，宗介只得跟母亲相依为命，这让他的性格孤僻自闭，甚至对长辈也不理不睬。但是，遇到金鱼姬后，宗介逐渐改变了对生活的冷漠态度，这也让他慢慢修复了性格中的缺陷。一次意外的海啸中，宗介撞伤了身体，金鱼姬沾染到了人类的血，飘回了大海之中。原来海洋中还有另外一个世界，那里有个操控水文环境的古怪男子藤本，因为发现了人类污染环境的丑陋，所以自造了另一个水中世界。他发现金鱼姬沾染了人气，正准备用魔法将它打回原形，却事与愿违……
婚姻故事 Marriage Story,2019,诺亚·鲍姆巴赫,"斯嘉丽·约翰逊,亚当·德赖弗,劳拉·邓恩,艾奇·罗伯逊,梅里特·韦弗,阿伦·阿尔达,朱丽·哈基提,雷·利奥塔,马克·奥布莱恩,华莱士·肖恩,凯尔·柏海莫,米奇·萨姆纳,马修·马希尔,罗伯特·斯密戈尔,艾登·梅耶里,布鲁克·布鲁姆,玛莎·凯莉,阿尔伯特·琼斯,汉娜·邓恩,桑德拉·罗斯科,麦金利·贝尔彻,戈登·格里克,马修·希尔,阿米尔·塔莱,萨拉·琼斯,文尼·希伯,胡安·阿方索,洛蕾塔·谢诺斯基,滕德·艾德比佩","剧情,爱情","英国,美国",英语,8.6,162202,42.0%,47.1%,10.1%,0.6%,0.1%,57009,讲述了结婚多年并育有一子的戏剧导演查理和女演员妮可因工作分居而不得不走向离婚，在这场为了争夺抚养权的离婚拉锯战中，关于爱情、婚姻和家庭真实感人的细枝末节牵动人心。两人的关系又将何去何从？
阳光姐妹淘 써니,2011,姜炯哲,"沈恩京,闵孝琳,姜素拉,南宝拉,陈熙琼,金时厚,柳好贞,朴真珠,金甫美,千禹熙,李璟荣","剧情,喜剧",韩国,韩语,8.8,435990,51.5%,37.7%,9.8%,0.8%,0.2%,98098,25年前，高中生任娜美（沈恩京 饰）一家从全罗道搬到汉城，娜美入读真德女子高中，因方言浓重怯于开口的娜美幸运的得到了同班大姐头夏春花（姜索拉 饰）的维护，并与围绕在夏春花周围的执着于双眼皮的金玫瑰、满嘴脏话的黄珍熙、梦想成为作家的徐金玉、要成为韩国小姐的俞福姬以及沉默傲慢的美人郑秀智等五人结识。在一次和不良少女团对决之后，春花和娜美等七人组成了"Sunny"团体……
真爱至上 Love Actually,2003,理查德·柯蒂斯,"休·格兰特,科林·费尔斯,艾玛·汤普森,凯拉·奈特莉,连姆·尼森,托马斯·布罗迪-桑斯特,比尔·奈伊,马丁·弗瑞曼,劳拉·琳妮,艾伦·瑞克曼,克里斯·马歇尔,罗德里戈·桑托罗,罗温·艾金森,比利·鲍伯·松顿,玛汀·麦古基安,安德鲁·林肯,露西娅·莫尼斯,海克·玛卡琪","剧情,喜剧,爱情","英国,美国,法国","英语,葡萄牙语,法语",8.6,501701,46.0%,38.5%,13.9%,1.2%,0.3%,116719,这是一出10个爱情故事串成的喜剧杂烩：
